lead_underwriter,profile,en_name,stock_code,name,listing_date,establish_date,organization,instit_type,listing_price,scope,market
东方证券股份有限公司,"    公司是由宁波三星仪表有限公司整体变更设立的股份有限公司。公司于2008年3月24日改制设立,并在浙江省宁波市工商行政管理局领取了注册号为330212000019124的企业法人营业执照。,
    2015年10月,公司中文名称由“宁波三星电气股份有限公司”变更为“宁波三星医疗电气股份有限公司”,英文名称由“Ningbo Sanxing Electric Co.,Ltd.”变更为“Ningbo Sanxing Medical Electric Co.,Ltd.”。","Ningbo Sanxing Medical Electric Co.,ltd.",三星医疗(601567),宁波三星医疗电气股份有限公司,2011-06-15,2007-02-01,民营企业,其它,20.00,"医疗项目投资及医院管理;仪器仪表、电能表、变压器、开关柜、配电自动化设备、充电设备、电能计量箱及相关配件的研发、制造、加工、销售、维修、技术服务;电力工程、电气工程的施工、维修及技术服务;软件开发、销售;自营和代理货物和技术的进出口,但国家限定经营或禁止进出口的货物和技术除外。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",上海证券交易所
国金证券股份有限公司,"    公司前身是南京健友生物化学制药厂;2000年10月16日,公司更名为南京健友生物化学制药有限公司。,
    2011年3月8日,有限公司整体变更设立南京健友生化制药股份有限公司。","Nanjing King-friend Biochemical Pharmaceutical Co.,Ltd.",健友股份(603707),南京健友生化制药股份有限公司,2017-07-19,2000-10-16,中外合资企业,其它,7.21,"药品生产(按许可证所列范围经营);销售自产产品。药品的研发及其技术成果转让、技术咨询和服务。从事与本企业生产同类产品的批发、佣金代理(拍卖除外)和技术的进出口业务(不涉及国营贸易管理商品,涉及配额、许可证管理商品的,按国家有关规定办理申请);自有房屋租赁。(涉及许可证经营的凭许可证经营)。",上海证券交易所
上海海通证券公司,"    本公司前身系邮电部上海通信设备厂,于1993年7月28日经上海市人民政府交通办公室以沪府交企(93)第183号文批准设立,公司所发行的A股和B股分别于1993年10月8日和1994年10月8日在上海证券交易所上市交易。","Shanghai Potevio Co.,Ltd.",*ST上普(600680),上海普天邮通科技股份有限公司,1993-10-18,1993-10-08,国有企业,其它,5.00,"设计、生产各类通信设备、计算机网络及外围配套设备、电子信息设备、智能信息终端系统及设备、AFC自动售检票系统及设备、邮政产品、税控收款机产品、智能识别系统(含二代身份证阅读器)、新能源电动汽车充电系统及设施,销售自产产品;以建设工程施工总承包的形式从事通信工程施工、机电安装工程施工;通信和计算机信息系统集成;实验室产品检测;新能源系统管理和优化控制、综合能源服务;精密机械加工,技术咨询和技术服务(涉及许可证经营的凭许可证经营);上述产品及同类商品的批发、进出口、佣金代理(拍卖除外)并提供相关配套服务。(涉及配额、许可证管理商品的按照国家有关规定办理)。",上海证券交易所
上海海通证券公司,"    上海世茂股份有限公司前身为""上海万象(集团)股份有限公司"",系于1993年9月29日经上海市财贸办公室沪府财贸(93)第315号文批准,采用社会募集方式设立的股份有限公司。,
    1994年2月4日,上海万象(集团)股份有限公司股票在上海证券交易所挂牌上市。,
    2001年4月16日,经本公司2000年度股东大会决议通过,公司名称由""上海万象(集团)股份有限公司""变更为""上海世茂股份有限公司""。","Shanghai Shimao Co.,Ltd.",世茂股份(600823),上海世茂股份有限公司,1994-02-04,1992-07-01,中外合资企业,其它,5.00,"实业投资,房地产综合开发经营,本公司商标特许经营,酒店管理,物业管理,货物进出口及技术进出口,针纺织品,服装鞋帽,日用百货,皮革制品,玩具,钟表眼镜,照相器材,文化用品,五金交电,日用化学品,建筑装潢材料,家具,金属材料,电子产品,办公用品,机械设备,工艺美术品,计算机硬件、软件的批发、零售(拍卖除外)。【依法需经批准的项目,经相关部门批准后方可开展经营活动】",上海证券交易所
申银万国证券股份有限公司,"    上海开开实业股份有限公司系经上海市人民政府财贸办公室和上海市经济体制改革办公室于1992年12月28日批准,由上海开开公司改制为定向募集的股份有限公司。,
    1996年12月19日,经中国证券监督管理委员会批准,公司向境外投资者发行8,000万股境内上市外资股(“B股”),公开发行的B股已于1997年1月在上海证券交易所上市。,
    2000年12月21日,经中国证券监督管理委员会核准向社会募集增发A股4,500万股,公开发行的A股已于2001年2月28日在上海证券交易所挂牌上市。",Shanghai Kai Kai Industry Company Limited,开开实业(600272),上海开开实业股份有限公司,2001-02-28,1993-03-18,,其它,,生产和销售衬衫、羊毛衫、针棉织品、服装、鞋帽、纺织面料;提供产品咨询及售后服务。,上海证券交易所
中兴信托投资有限责任公司,"    公司原名成都福地科技股份有限公司(原成都红光实业股份有限公司)系经成都市体改委成体改[1992]162号文批准由原国营红光电子管厂、四川省信托投资公司、中国银行四川省分行、交通银行成都分行四家法人单位为发起人,以定向募集方式改组设立的股份有限公司。,
    1997年5月19日,经中国证监会证监发字[1997]246号及证监发字(1997)247号文件批准,向社会公众发行A股股票7000万股,并于1997年6月6日在上海证券交易所挂牌交易。,
    2003年5月9日经成都市工商行政管理局核准,本公司名称由""成都福地科技股份有限公司""变更为""广东博信投资控股股份有限公司""。","Guangdong Boxin Investing & Holdings Co.,Ltd.",博信股份(600083),广东博信投资控股股份有限公司,1997-06-06,1993-05-08,民营企业,投资公司,6.05,"对外投资业务,国内(一般经营项目商品)贸易、物资供销(属国家专营、专控、专卖、限制类、禁止类、许可类的商品除外)。",上海证券交易所
安信证券股份有限公司,"    公司前身是江苏万林国际木业城有限公司,成立于2007年11月12日;2008年4月9日,公司名称由“江苏万林国际木业城有限公司”变更为“江苏万林国际木业有限公司”;2011年6月27日,公司更名为“江苏万林现代物流股份有限公司。","Jiangsu Wanlin Modern Logistics Co.,Ltd.",万林股份(603117),江苏万林现代物流股份有限公司,2015-06-29,2007-11-12,民营企业,其它,5.93,"公路货运代理(代办),货物配载业务;货物的仓储、物流配送(以上经营范围不含运输);进出口货物报关、报检代理业务;代理木材、木材制品及各类商品进出口业务;国内贸易代理;国内贸易(木材、木材制品、钢材、煤炭、建材、矿产品);木材加工;木制品制造;木材产业园区管理服务业务;电子商务、供应链管理技术开发和技术服务业务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",上海证券交易所
兴业证券股份有限公司,"    2001年12月5日,公司前身北京士兴钢结构有限公司成立。,
    2012年5月28日,公司整体变更为森特士兴集团股份有限公司。","Center International Group Co.,ltd.",森特股份(603098),森特士兴集团股份有限公司,2016-12-16,2001-12-05,民营企业,其它,9.18,"生产高端建筑金属屋面系统、高端建筑金属墙面系统、金属复合幕墙系统、金属工业门、C型钢、薄壁型钢、环保吸音建材、新型屋面通风采光系统、压型钢板及其配套机具;钢结构的制造加工;新型金属建筑材料的研发与制造;钢结构工程专业承包;对外承包工程;工程勘察设计;销售高端建筑金属屋面系统、高端建筑金属墙面系统、金属复合幕墙系统、压型彩钢板、金属复合幕墙系统、金属工业门、C型钢、薄壁型钢、环保吸音建材、新型屋面通风采光系统、新型金属建筑材料、压型钢板及其配套机具、各类幕墙、门窗;钢结构构件及配套安装与服务;环境噪音治理;钢结构工程设计;投资与资产管理;技术进出口、货物进出口、代理进出口;仓储服务;技术开发、技术服务、技术推广;水污染、大气污染、土壤污染的治理、咨询及技术服务,及其工程专业承包。",上海证券交易所
中信证券股份有限公司,"    公司是由苏州麦迪斯顿医疗科技有限公司整体变更设立的股份有限公司。,
    2009年8月14日,苏州麦迪斯顿医疗科技有限公司成立。,
    2012年10月29日,公司在江苏省工商行政管理局办理完成工商登记,苏州麦迪斯顿医疗科技有限公司整体变更为苏州麦迪斯顿医疗科技股份有限公司。","Suzhou MedicalSystem Technology Co.,Ltd.",麦迪科技(603990),苏州麦迪斯顿医疗科技股份有限公司,2016-12-08,2009-08-14,民营企业,其它,9.69,"研发医疗器械、计算机软硬件及通信技术,医用机器人导航系统,微创手术平台系统,机电一体化产品;提供计算机系统集成、信息网络及数据处理的技术服务、技术咨询、技术转让;建筑智能化、净化工程的设计、施工及工程咨询;组装生产微型计算机;销售本公司自主研发生产的产品;从事医疗器械、计算机软硬件、电子产品的批发、进出口、佣金代理(拍卖除外)、自有房屋租赁及相关业务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",上海证券交易所
安信证券股份有限公司,"    公司系由三角集团作为主要发起人与其他六家法人股东和丁玉华先生等六位自然人股东共同发起设立的股份有限公司。2001年2月22日,公司取得了山东省工商行政管理局核发的。","Triangle Tyre Co.,Ltd.",三角轮胎(601163),三角轮胎股份有限公司,2016-09-09,2001-02-22,民营企业,其它,22.07,"轮胎、橡胶制品、橡胶机械及仪器仪表、化工产品(不含化学危险品)、尼龙帘线、钢丝帘线轮胎原辅材料的研制、生产、销售及技术服务;备案范围进出口业务;化工工程设计、安装(须凭资质证书经营),机械设备及房屋租赁,仓储(不含化学危险品)装卸及物流服务,企业管理咨询服务;再生物资回收与批发(不含危险废物及须经许可的项目)。",上海证券交易所
