lead_underwriter,profile,en_name,stock_code,name,listing_date,establish_date,organization,instit_type,listing_price,scope,market
,"    公司原名海南新能源股份有限公司,2003年1月3日变更为恒大地产股份有限公司,2006年5月20日更为现名。本公司系于1991年5月经海南省人民政府办公厅琼府函(1991)38号文批准,在海口新能源有限公司基础上改组设立的股份有限公司。本公司1989年9月18日由海南省工商行政管理局登记注册,2005年9月4日变更为广东省工商行政管理局登记注册。公司名称由""绿景地产股份有限公司""变更为""绿景控股股份有限公司"",英文名称由""LVJING REALESTATE CO.,LTD""变更为""LVJING HOLDING CO.,LTD""。","Lvjing Holding Co.,Ltd.",绿景控股(000502),绿景控股股份有限公司,1992-11-23,1989-09-18,民营企业,其它,1.00,"项目投资、医疗健康产业投资,股权投资,投资管理,资产管理,医院管理咨询,健康信息咨询;销售医疗器械Ⅰ类Ⅱ类;网络信息技术开发及服务;计算机软件的技术开发及服务,技术咨询。(依法须经批准的项目,经相关部门批准后方可开展经营活动。)",深圳证券交易所
平安证券有限责任公司,"    公司系经浙江省人民政府证券委员会于1998年7月13日出具的(浙证委[1998]77号)批准,由朱善忠等239位自然人发起设立的股份有限公司。公司于1998年8月28日取得注册号为3300001001743的工商营业执照。,
    2016年1月8日,公司名称由“浙江禾欣实业集团股份有限公司”变更为“慈文传媒股份有限公司”,英文名称由“Zhejiang Hexin Industry Group Co.,Ltd.”变更为“Ciwen Media Co.,Ltd.”。","Ciwen Media Co.,Ltd.",慈文传媒(002343),慈文传媒股份有限公司,2010-01-26,1998-08-28,民营企业,其它,31.00,"广播电视节目制作经营(凭许可证经营),摄影服务,文化教育信息咨询,经营演出及经纪业务(凭许可证经营),设计、制作、代理、发布国内各类广告业务,从事进出口业务。",深圳证券交易所
国信证券有限责任公司(原名深圳国投证券有限公司),"    公司原名为南方宇航科技股份有限公司,南方宇航科技股份有限公司原名南方摩托股份有限公司,是1997年4月28日经国家体改委体改生(1997)54号文批准,由中国南方航空动力机械公司作为独家发起人,以其下属的摩托车发动机制造厂、摩托车齿轮厂、销售公司、运输公司、黑色铸造车间、压铸车间、摩托车设计所及其控股的株洲南方摩托车制造有限公司的权益为基础,采用社会募集的方式设立的股份有限公司。,
    公司于1997年6月26日在深圳证券交易所正式挂牌上市交易。,
    2005公司名称由""南方摩托股份有限公司""变更为""南方宇航科技股份有限公司""。,
    近日公司名称变更为""中航动力控制股份有限公司"",英文名称变更为""AVICAero-Engine Controls Co.,Ltd.""。,
    2017年4月,公司名称由中航动力控制股份有限公司变更为中国航发动力控制股份有限公司,英文名称由AVIC Aero-Engine Controls Co.,Ltd.变更为AECC AERO-ENGINE CONTROL CO.,LTD.。","Aecc Aero-engine Control CO.,LTD.",航发控制(000738),中国航发动力控制股份有限公司,1997-06-26,1997-06-20,国有企业,其它,7.20,航空航天船舶动力控制系统、行走机械动力控制系统、工业自动控制及新能源控制系统及其产品的研发、制造、销售、修理、技术转让、技术咨询、技术服务;利用自有资产对外投资。,深圳证券交易所
国金证券股份有限公司,"    公司是由浙江亿利达风机有限公司整体变更设立的股份有限公司。2010年7月23日,亿利达有限董事会决议同意由章启忠、陈心泉、陈金飞、MWZ澳大利亚私人有限公司、台州乾源投资有限公司共同作为发起人。,
    2010年8月16日浙江省商务厅出具了浙商务资函[2010]293号文,同意浙江亿利达风机有限公司整体变更为股份有限公司。,
    2010年8月30日,中喜会计师事务所有限责任公司为本公司设立出具了中喜验字[2010]第01024号。公司于2010年9月6日在台州市工商局领取了注册号为331000400005617的。","Zhejiang Yilida Ventilator Co.,Ltd.",亿利达(002686),浙江亿利达风机股份有限公司,2012-07-03,1995-07-03,民营企业,其它,16.00,"生产销售风机、风扇、电机、电主轴、空调暖通设备及配件、通风净化设备、自动化控制设备、电子工业专用设备、塑料制品、金属制品;从事货物、技术进出口业务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",深圳证券交易所
民生证券有限责任公司,"    公司前身烟台东诚生化有限公司成立于1998年12月31日。2007年12月27日,经中华人民共和国商务部商资批[2007]2009号文同意,烟台东诚生化有限公司以整体变更方式设立股份有限公司。2007年12月27日,公司在山东省工商行政管理局注册登记,并领取注册号为370600400006926的,注册资本为人民币4,000万元。,
    2014年6月,公司名称由""烟台东诚生化股份有限公司""变更为""烟台东诚药业集团股份有限公司""。","Yantai Dongcheng Biochemicals Co.,Ltd.",东诚药业(002675),烟台东诚药业集团股份有限公司,2012-05-25,1998-12-31,民营相对控股企业,其它,26.00,"原料药(肝素钠、肝素钙、硫酸软骨素钠、硫酸软骨素钠(供注射用)、那屈肝素钙、依诺肝素钠、达肝素钠)的生产、加工和销售;硫酸软骨素、胶原蛋白、透明质酸、细胞色素C(冻干)、盐酸氨基葡萄糖、鲨鱼骨粉的生产、加工和销售(需取得许可生产经营的,取得许可证后方可生产经营);货物及技术进出口;医药技术和产品的研发及成果转让、相关技术咨询及服务。",深圳证券交易所
申银万国证券股份有限公司,"    公司是由露露集团有限责任公司作为独家发起人,通过向社会公开发行股票而设立的股份有限公司。本公司于1997年10月17日注册成立,公司股票于1997年11月13日在深圳证券交易所上市挂牌交易。",He Bei Cheng De LoLo Company Limited,承德露露(000848),河北承德露露股份有限公司,1997-11-13,1997-10-17,民营企业,其它,5.52,饮料(蛋白饮料类)的开发、生产与销售;马口铁包装罐的生产和销售。,深圳证券交易所
海通证券股份有限公司,"    公司是1998年9月29日经甘肃省经济体制改革委员会甘体改函字[1998]第030号文批准,以发起方式设立的股份有限公司。经中国证券监督管理委员会证监发行字[2000]98号文批准,于2000年7月在深交所上市发行股票4000万。","Gansu Huangtai Wine-Marketing Industry Co.,Ltd.",皇台酒业(000995),甘肃皇台酒业股份有限公司,2000-08-07,1998-09-29,民营相对控股企业,其它,7.80,许可经营项目:无。一般经营项目:白酒、葡萄酒的生产、批发零售(生产许可证有效期至2015年11月12日)。,深圳证券交易所
中国中投证券有限责任公司,"    昆明龙津药业股份有限公司前身为昆明龙津药业有限公司,龙津有限成立于1996年9月16日。2008年8月8日,经商务部(商资批[2008]680号)批准,龙津有限整体变更为昆明龙津药业股份有限公司。","Kunming Longjin Pharmaceutical Co.,Ltd.",龙津药业(002750),昆明龙津药业股份有限公司,2015-03-24,1996-09-16,中外合资企业,其它,21.21,"开发、研究、生产、销售中、西医药(以上经营范围中涉及国家法律、行政法规规定的专项审批,按审批的项目和时限开展经营活动)。",深圳证券交易所
国信证券股份有限公司,"    2000年6月6日,公司由广州市天赐高新材料科技有限公司整体变更设立。2007年11月23日,经广州市工商局核准,广州市天赐高新材料科技有限公司整体变更为广州天赐高新材料股份有限公司。","Guangzhou Tinci Materials Technology Co.,Ltd.",天赐材料(002709),广州天赐高新材料股份有限公司,2014-01-23,2000-06-06,民营相对控股企业,其它,13.66,非食用植物油加工;无机酸制造(监控化学品、危险化学品除外);无机碱制造(监控化学品、危险化学品除外);有机化学原料制造(监控化学品、危险化学品除外);染料制造;初级形态塑料及合成树脂制造(监控化学品、危险化学品除外);合成橡胶制造(监控化学品、危险化学品除外);其他合成材料制造(监控化学品、危险化学品除外);化学试剂和助剂制造(监控化学品、危险化学品除外);专项化学用品制造(监控化学品、危险化学品除外);林产化学产品制造(监控化学品、危险化学品除外);信息化学品制造(监控化学品、危险化学品除外);环境污染处理专用药剂材料制造(监控化学品、危险化学品除外);肥皂及合成洗涤剂制造;化妆品制造;口腔清洁用品制造;其他日用化学产品制造(监控化学品、危险化学品除外);日用及医用橡胶制品制造;石墨及碳素制品制造;日用化工专用设备制造;其他电池制造(光伏电池除外);锂离子电池制造;污水处理及其再生利用;化妆品及卫生用品批发;贸易代理;化妆品及卫生用品零售;企业总部管理;工程和技术研究和试验发展;生物技术推广服务;新材料技术推广服务;节能技术推广服务;水资源管理;货物进出口(专营专控商品除外);技术进出口;普通货物运输(搬家运输服务),深圳证券交易所
君安证券有限责任公司,"    本公司是由湖北省京山轻工机械厂、湖北省第一轻工包装公司、京山县呢绒服装厂共同发起,1993年2月26日经湖北省体改委鄂体改[1993]15号文批准组建的定向募集股份有限公司。1998年5月,经中国证券监督管理委员会证监发字[1998]96号文和证监发字[1998]97号文批准,公司于1998年5月11日通过深圳证券交易所,以上网定价发行方式向社会公众公开发行5500万社会公众股,总股本增至205,880,888股。","J.s.Corrugating Machinery Co.,Ltd.",京山轻机(000821),湖北京山轻工机械股份有限公司,1998-06-26,1993-03-30,民营相对控股企业,其它,7.64,纸箱、纸盒包装机械、印刷机械的制造、销售;配件销售;原材料供应;高新技术开发;技术服务;经营本企业自产产品及相关技术的出口业务;汽车零部件的设计、制造、销售。,深圳证券交易所
