,code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
0,603999,读者传媒,-1.377,7.88,7.97,8.0,7.85,7.99,2052102,0.89067,16284407,27.172,2.721,453888.0,181555.2
1,603998,方盛制药,-4.492,12.12,12.61,12.65,12.1,12.69,2508923,0.93207,30858874,75.75,5.225,522295.00164,326242.79064
2,603997,继峰股份,-3.883,11.14,11.59,11.66,11.0,11.59,3262716,1.90802,37043885,18.881,4.256,701820.0,190494.0
3,603996,中新科技,0.0,17.6,17.6,18.36,17.45,17.6,5154660,4.9912,92896890,45.128,3.719,528264.0,181764.0
4,603993,洛阳钼业,1.456,6.27,6.17,6.45,6.16,6.18,188677928,1.45655,1197457854,104.5,3.633,13542723.8455,8121989.14827
5,603991,至正股份,-2.721,32.18,33.25,33.25,32.1,33.08,568200,3.0385,18558569,48.03,5.404,239853.623564,60176.6
6,603990,麦迪科技,1.686,35.59,34.82,36.09,34.09,35.0,913545,4.56772,32499239,47.453,7.021,288003.5334,71180.0
7,603989,艾华集团,-2.272,40.43,41.35,42.58,40.35,41.37,3505212,4.15433,146142837,45.943,6.869,1212900.0,341128.125
8,603988,中电电机,1.802,49.71,50.52,50.93,49.0,48.83,943400,0.78617,47248587,165.7,6.042,596520.0,596520.0
9,603987,康德莱,-4.813,12.46,13.13,13.13,11.78,13.09,2486305,3.15121,31385690,20.097,3.281,393032.01,98309.4
10,603986,兆易创新,0.0,163.12,0.0,0.0,0.0,163.12,0,0.0,0,77.049,20.619,3306344.43013,2403497.3492
11,603985,恒润股份,-2.617,39.45,40.48,40.66,39.05,40.51,629098,3.14549,25240132,24.99,3.235,315600.0,78900.0
12,603980,吉华集团,-3.447,20.17,20.89,20.89,20.12,20.89,3674704,3.6747,75455607,21.098,2.601,1008500.0,201700.0
13,603979,金诚信,-2.047,10.53,10.76,10.82,10.52,10.75,3198063,1.31521,34163863,25.071,1.62,616005.0,256047.81696
14,603978,深圳新星,-6.243,92.36,98.88,98.88,92.16,98.51,1653067,8.26534,157498056,41.792,5.698,738880.0,184720.0
15,603977,国泰集团,0.0,16.79,0.0,0.0,0.0,16.79,0,0.0,0,28.458,3.964,371193.32,211016.72
16,603976,正川股份,-7.13,26.83,28.89,28.89,26.62,28.89,1260929,4.67011,35270594,30.839,3.091,289764.0,72441.0
17,603970,中农立华,10.0,28.93,28.93,28.93,28.93,26.3,107770,0.32331,3117786,35.401,7.663,385733.5262,96433.5262
18,603969,银龙股份,-6.043,12.75,13.57,13.58,12.7,13.57,4285500,2.80776,56697372,35.417,3.188,510000.0,194603.8875
19,603968,醋化股份,-2.05,20.07,20.32,20.44,20.03,20.49,729599,0.53411,14721978,27.875,3.192,410391.36,274156.2
20,603966,法兰泰克,-3.28,17.69,18.2,18.36,17.63,18.29,1681018,4.20255,30308914,37.638,3.535,283040.0,70760.0
